"SubjectID","Domain","Memory","A-B Scale"
"'sub-01'",0.191489361702128,0.169491525423729,-0.134646286433969
"'sub-02'",0.276595744680851,0.271186440677966,-0.141736559784299
"'sub-03'",0.212765957446809,0.288135593220339,-0.195102690484916
"'sub-05'",0.191489361702128,0.271186440677966,-0.285046804009767
"'sub-07'",0.297872340425532,0.322033898305085,-0.139771224563665
"'sub-08'",0.25531914893617,0.152542372881356,-0.174386909878987
"'sub-09'",0.25531914893617,0.203389830508475,-0.172786643389364
"'sub-12'",0.319148936170213,0.305084745762712,-0.128619391616713
"'sub-13'",0.340425531914894,0.23728813559322,-0.127678185986961
"'sub-14'",0.340425531914894,0.305084745762712,-0.186735882967237
"'sub-15'",0.191489361702128,0.220338983050847,-0.16372025853656
"'sub-19'",0.361702127659575,0.220338983050847,-0.0853235041321447
"'sub-20'",0.319148936170213,0.23728813559322,-0.122470055921331
"'sub-21'",0.276595744680851,0.220338983050847,-0.21595285572148
"'sub-22'",0.276595744680851,0.305084745762712,-0.105259404288202
"'sub-24'",0.25531914893617,0.254237288135593,-0.151195746803474
"'sub-25'",0.191489361702128,0.169491525423729,-0.138976381791715
"'sub-27'",0.212765957446809,0.271186440677966,-0.153599136752389
"'sub-29'",0.319148936170213,0.23728813559322,0.0609947571710641
"'sub-31'",0.297872340425532,0.203389830508475,-0.104178205512407
"'sub-32'",0.276595744680851,0.254237288135593,-0.155037622444568
"'sub-33'",0.276595744680851,0.322033898305085,-0.0929767514418692
"'sub-34'",0.0212765957446809,0.271186440677966,-0.235600114873938
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
