"SubjectID","Domain","Memory","A-B Scale"
"'sub-02'",0.553191489361702,0.76271186440678,0.119047080759498
"'sub-03'",0.659574468085106,0.711864406779661,0.188484796909247
"'sub-04'",0.680851063829787,0.796610169491525,0.112591215224743
"'sub-05'",0.659574468085106,0.864406779661017,0.137688870390002
"'sub-06'",0.361702127659575,0.694915254237288,0.0951930031748658
"'sub-07'",0.74468085106383,0.932203389830508,0.133229384221074
"'sub-08'",0.595744680851064,0.813559322033898,0.127687990943059
"'sub-09'",0.382978723404255,0.694915254237288,0.189549235863053
"'sub-10'",0.659574468085106,0.661016949152542,0.150317666409386
"'sub-12'",0.51063829787234,0.474576271186441,0.177222817758811
"'sub-14'",0.48936170212766,0.644067796610169,0.194375315341262
"'sub-15'",0.51063829787234,0.593220338983051,0.113204799732559
"'sub-16'",0.48936170212766,0.830508474576271,0.149261174648964
"'sub-17'",0.574468085106383,0.830508474576271,0.169879693024094
"'sub-18'",0.553191489361702,0.728813559322034,0.224795438447807
"'sub-19'",0.553191489361702,0.711864406779661,0.147160555837342
"'sub-20'",0.425531914893617,0.610169491525424,0.141127921969172
"'sub-21'",0.638297872340426,0.677966101694915,0.128726456643834
"'sub-23'",0.829787234042553,0.88135593220339,0.17098852737265
"'sub-25'",0.659574468085106,0.728813559322034,0.200487762843605
"'sub-27'",0.319148936170213,0.23728813559322,-0.067222911298362
"'sub-30'",0.340425531914894,0.423728813559322,-0.0413033927262158
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
