start_time	end_time	duration	x_pos	y_pos	vdx_pos	vdy_pos
0.0244866635039216	0.16447680904821	0.139990145544289	637.9	409.2	-0.0464601769911509	-2.21075268817204
0.190474978924613	0.400460197241046	0.209985218316433	429.1	347.4	-4.59978189749182	-3.50959488272921
0.436457663236069	0.65644217764202	0.219984514405951	362	784	-5.95927116827438	5.68443051201672
0.674440910646808	0.884426128948689	0.209985218301881	416.8	745.5	-4.8207343412527	4.91062039957939
0.902424861938925	1.28239811411186	0.379973252172931	350.7	746.5	-6.1948608137045	4.91099476439791
1.30239670633455	1.96035039034905	0.657953684014501	443.4	734.9	-4.24163969795038	4.67785939139559
1.98234884178964	2.29232702119043	0.309978179400787	340	793.1	-6.4034151547492	5.85015608740895
2.31432547263103	2.44831604050705	0.133990567876026	450.1	731.2	-4.10151187904968	4.60504201680672
2.61030463747738	2.82228971501172	0.211985077534337	843.7	226.9	4.48184818481848	-6.07889125799574
2.83828858878405	3.02027577797708	0.181987189193023	815.8	269.6	3.87224669603524	-5.17948717948718
3.03827451098186	3.21826184095698	0.17998732997512	849.2	312.9	4.6079295154185	-4.25882352941177
3.23626057394722	6.74801336767268	3.51175279372546	814.3	257.2	3.83920704845815	-5.43283582089552
6.79401012978633	6.96399816364283	0.169988033856498	370.5	307.9	-5.80818965517241	-4.31501057082453
6.97799717819726	7.28797535759804	0.309978179400787	329.5	323.4	-6.66309012875536	-3.9789029535865
7.30197437215247	8.14191524537455	0.839940873222076	404.3	327.4	-5.1017316017316	-3.915164369035
8.18191242980538	8.46589243932976	0.283980009524385	789.3	230.4	3.28492849284928	-6.00426439232409
8.47989145388419	8.86186456526048	0.381973111376283	813.5	256.9	3.81318681318681	-5.43923240938166
9.07584950201272	9.51181881240336	0.435969310390647	811	236.7	3.75824175824176	-5.86368477103301
9.5318174046115	9.84379544324474	0.311978038633242	840.3	321.5	4.40704070407041	-4.07486631016043
9.86379403546744	10.4257544768188	0.561960441351403	807.4	248.8	3.68316831683168	-5.61194029850746
10.4417533506057	11.3836870441301	0.941933693524334	850.9	316.2	4.64537444933921	-4.18376068376068
11.4036856363527	11.8176564953028	0.413970858950051	772.3	395.2	2.91409691629956	-2.50107066381156
11.8396549467434	12.6575973685103	0.817942421766929	789.7	500.8	3.30099228224917	-0.23982869379015
12.6815956791688	12.8535835722578	0.171987893088954	781.4	639	3.11111111111111	2.70788912579957
12.8955806159211	13.2255573875445	0.329976771623478	800.5	243.2	3.5352422907489	-5.73745997865528
13.2675544312078	13.4995381009503	0.231983669742476	392	353	-5.35637149028078	-3.36864406779661
13.5155369747226	14.4294726391527	0.913935664430028	350.7	343.1	-6.21482277121375	-3.56705385427666
14.445471512925	14.6474572943407	0.201985781415715	391.1	399.7	-5.38162162162162	-2.37923728813559
14.663456168113	14.8254447650979	0.161988596984884	434.5	349.5	-4.45287107258938	-3.44644750795334
14.8394437796524	15.1074249153899	0.2679811357375	387.3	332.7	-5.44612068965517	-3.79069767441861
15.1194240707264	15.7233815557411	0.603957485014689	430.4	335.8	-4.53679653679654	-3.73305084745763
15.7653785994044	15.9773636769387	0.211985077534337	785.6	254.2	3.2	-5.48510638297872
15.9913626914931	16.2653434048989	0.273980713405763	816.7	256.4	3.88351648351648	-5.44408945686901
16.481328200869	16.9692938510125	0.487965650143451	799.2	245	3.5027502750275	-5.68690095846645
17.0092910354579	17.4772580933932	0.467967057935311	386.1	325.4	-5.47198275862069	-3.94086589229145
17.4932569671655	17.6912430301309	0.197986062965356	370.5	383	-5.79569892473118	-2.72439281942978
17.7072419039177	17.9952216318779	0.287979727960192	332.6	390	-6.57540106951872	-2.56842105263158
18.0132203648682	18.42119164615	0.407971281281789	340.9	323.9	-6.40471092077088	-3.96
18.4371905199223	19.0251491311792	0.587958611256909	398	386	-5.21551724137931	-2.66666666666667
19.0391481457191	19.4911163298821	0.451968184162979	440.9	334	-4.31419284940412	-3.77518557794274
19.5091150628868	20.1930669167923	0.683951853905455	376.2	331.4	-5.68534482758621	-3.81818181818182
20.2070659313467	20.3790538244211	0.171987893074402	433.6	330.9	-4.47237269772481	-3.84093319194062
20.6350358048367	24.0207974675868	3.38576166275016	816.7	242.1	3.875	-5.73036093418259
24.0387962005771	24.5387610060716	0.499964805494528	844	307.4	4.47368421052632	-4.3531914893617
24.7707446758141	24.9767301756656	0.205985499851522	884.4	255.8	5.33624454148472	-5.42796610169491
24.9927290494379	26.6986089657585	1.70587991632055	823.8	245.4	4.03070175438596	-5.66029723991507
26.7446057278721	26.856597844293	0.111992116420879	432.1	287.4	-4.5	-4.74841437632135
26.9005947471742	27.7925319601636	0.891937212989433	823	245.2	4.01315789473684	-5.67659574468085
28.0305152075744	28.0565133774653	0.0259981698909542	1126.6	152.5	10.453276047261	-7.52879581151832
28.0745121104555	28.3504926830792	0.275980572623666	1009.6	241.6	8.0173535791757	-5.70464135021097
28.3764908529702	29.2124320077419	0.835941154771717	822.4	252.9	3.98688524590164	-5.49522799575822
29.258428769841	29.4944121580338	0.235983388192835	418.1	334.6	-4.77717976318622	-3.73867228661749
29.5104110318061	29.7543938568851	0.243982825079001	382	314.2	-5.53648068669528	-4.15983175604627
29.7663930122217	30.41634725935	0.649954247128335	435.8	356.2	-4.40560949298813	-3.29039070749736
30.4343459923402	30.7663226231962	0.331976630855934	415.5	315.4	-4.83315392895587	-4.15205913410771
30.7843213561864	30.952309530825	0.167988174638595	431.3	375.7	-4.50755939524838	-2.8816067653277
30.9683084046119	31.3202836276614	0.351975223049521	391.3	334.7	-5.34838709677419	-3.73656480505796
